customer_id,Name,Gender,Age,Email,preferences,,purchase History,Interactions,,,
c29,Isabella  ,Female,40,isabella@example.com  ,"[""Sports"", ""Home & Garden""]",,"Vacuum Cleaner, Cleaning Supplies",Inquiry about the next product sale or promotion,,,
c30,Natalie  ,Female,23,natalie@example.com  ,"[""Toys"", ""Electronics""]",,"Microwave, Food Containers",Question about the return timeframe for a winter jacket,,,
c31,Steven  ,Male,60,steven@example.com  ,"[""Video Games"", ""Sports""]",,"Home Projector, Movie Screen",Request for help in pairing wireless earbuds,,,
c32,Samantha  ,Female,21,samantha@example.com  ,"[""Electronics"", ""Clothing""]",,"Pressure Cooker, Spice Rack",Complaint about an app not syncing with a fitness tracker,,,
c33,William  ,Male,53,william@example.com  ,"[""Home Appliances"", ""Electronics""]",,"Kitchen Scale, Baking Tools",Feedback on excellent packaging of a product,,,
c34,Jason  ,Male,18,jason@example.com  ,"[""Video Games"", ""Books""]",,"Bluetooth Speaker, Charging Dock",Inquiry about product care tips for a leather wallet,,,
c35,Lily  ,Female,49,lily@example.com  ,"[""Beauty"", ""Electronics""]",,"Desk Organizer, Notebooks",Request for expedited shipping on an urgent order,,,
c36,Maria  ,Female,21,maria@example.com  ,"[""Automotive"", ""Home & Kitchen""]",,"Leather Wallet, Sunglasses",Complaint about incorrect order received,,,
c37,Audrey  ,Female,42,audrey@example.com  ,"[""Home & Kitchen"", ""Books""]",,"Portable Cooler, Picnic Blanket",Feedback on seamless checkout process,,,
c38,Charlotte  ,Female,30,charlotte@example.com  ,"[""Toys"", ""Home & Kitchen""]",,"Camping Tent, Sleeping Bag",Query about accessories for an action camera,,,
c39,Angela  ,Female,36,angela@example.com  ,"[""Electronics"", ""Beauty""]",,"Tool Kit, Safety Gloves",Request for an extended warranty on a smart lock,,,
c40,Katherine  ,Female,20,katherine@example.com  ,"[""Home & Kitchen"", ""Sports""]",,"Smart Lock, Security Camera",Feedback on the reliability of a vacuum cleaner,,,
c41,Julia  ,Female,65,julia@example.com  ,"[""Books"", ""Home & Kitchen""]",,"Smartphone Z, Phone Accessories",Complaint about the color mismatch of delivered curtains,,,
c42,Christopher  ,Male,24,christopher@example.com  ,"[""Home & Kitchen"", ""Electronics""]",,"Gardening Tools, Flower Seeds",Inquiry about repairing a broken tablet screen,,,
c43,Paul  ,Male,48,paul@example.com  ,"[""Health & Personal Care"", ""Home & Kitchen""]",,"Compact Refrigerator, Ice Maker",Feedback on detailed product manuals,,,
c44,Danielle  ,Female,31,danielle@example.com  ,"[""Health & Personal Care"", ""Home Appliances""]",,"Standing Fan, Air Cooler",Request for suggestions on camping gear,,,
c45,Rachel  ,Female,49,rachel@example.com  ,"[""Beauty"", ""Books""]",,"Wireless Keyboard, Mouse Pad",Complaint about customer service response time,,,
c46,Ella  ,Female,24,ella@example.com  ,"[""Beauty"", ""Toys""]",,"Portable Charger, USB-C Cable",Inquiry about the availability of an international shipping option,,,
c47,Nicole  ,Female,50,nicole@example.com  ,"[""Clothing"", ""Beauty""]",,"Home Gym Equipment, Resistance Bands",Question about the difference between two smartphone models,,,
c48,Alexis  ,Female,27,alexis@example.com  ,"[""Electronics"", ""Beauty""]",,"4K Monitor, Webcam",Feedback on a positive interaction with a sales representative,,,
c49,Lauren  ,Female,29,lauren@example.com  ,"[""Clothing"", ""Beauty""]",,"Electric Scooter, Helmet",Request for guidance on using a slow cooker,,,
c50,Allison  ,Female,31,allison@example.com  ,"[""Health & Personal Care"", ""Home Appliances""]",,"Slow Cooker, Recipe Book",Complaint about overheating of a gaming chair,,,
,,,,,,,,Inquiry about special offers for loyal customers,,,
